Station,Entry_Exit,Trip,Month,Year
Allawah Station,Entry,63274,10,2024
Allawah Station,Exit,56147,10,2024
Arncliffe Station,Entry,59748,10,2024
Arncliffe Station,Exit,53814,10,2024
Artarmon Station,Entry,102744,10,2024
Artarmon Station,Exit,98111,10,2024
Ashfield Station,Entry,263502,10,2024
Ashfield Station,Exit,262891,10,2024
Asquith Station,Entry,30489,10,2024
Asquith Station,Exit,26990,10,2024
Auburn Station,Entry,388434,10,2024
Auburn Station,Exit,370482,10,2024
Banksia Station,Entry,37213,10,2024
Banksia Station,Exit,33657,10,2024
Bankstown Station,Entry,43001,10,2024
Bankstown Station,Exit,45708,10,2024
Bardwell Park Station,Entry,28235,10,2024
Bardwell Park Station,Exit,26310,10,2024
Beecroft Station,Entry,33375,10,2024
Beecroft Station,Exit,32080,10,2024
Berala Station,Entry,41787,10,2024
Berala Station,Exit,39257,10,2024
Berowra Station,Entry,27407,10,2024
Berowra Station,Exit,25228,10,2024
Beverly Hills Station,Entry,48727,10,2024
Beverly Hills Station,Exit,44033,10,2024
Bexley North Station,Entry,33375,10,2024
Bexley North Station,Exit,30459,10,2024
Birrong Station,Entry,4906,10,2024
Birrong Station,Exit,4972,10,2024
Blacktown Station,Entry,394235,10,2024
Blacktown Station,Exit,402198,10,2024
Bondi Junction Station,Entry,615697,10,2024
Bondi Junction Station,Exit,613902,10,2024
Burwood Station,Entry,535059,10,2024
Burwood Station,Exit,545690,10,2024
Cabramatta Station,Entry,200976,10,2024
Cabramatta Station,Exit,198226,10,2024
Campbelltown Station,Entry,140534,10,2024
Campbelltown Station,Exit,139117,10,2024
Canley Vale Station,Entry,64413,10,2024
Canley Vale Station,Exit,57012,10,2024
Caringbah Station,Entry,59803,10,2024
Caringbah Station,Exit,57111,10,2024
Carlton Station,Entry,65672,10,2024
Carlton Station,Exit,59861,10,2024
Carramar Station,Entry,14061,10,2024
Carramar Station,Exit,12442,10,2024
Casula Station,Entry,9678,10,2024
Casula Station,Exit,8543,10,2024
Central Station,Entry,2291227,10,2024
Central Station,Exit,2348040,10,2024
Chatswood Station,Entry,805775,10,2024
Chatswood Station,Exit,832389,10,2024
Cheltenham Station,Entry,20745,10,2024
Cheltenham Station,Exit,17446,10,2024
Chester Hill Station,Entry,27618,10,2024
Chester Hill Station,Exit,26191,10,2024
Circular Quay Station,Entry,596173,10,2024
Circular Quay Station,Exit,595492,10,2024
Clarendon Station,Entry,2523,10,2024
Clarendon Station,Exit,2506,10,2024
Clyde Station,Entry,24832,10,2024
Clyde Station,Exit,23978,10,2024
Como Station,Entry,15395,10,2024
Como Station,Exit,13129,10,2024
Concord West Station,Entry,49473,10,2024
Concord West Station,Exit,46366,10,2024
Cronulla Station,Entry,64696,10,2024
Cronulla Station,Exit,64400,10,2024
Croydon Station,Entry,55479,10,2024
Croydon Station,Exit,50024,10,2024
Denistone Station,Entry,13801,10,2024
Denistone Station,Exit,12078,10,2024
Doonside Station,Entry,67988,10,2024
Doonside Station,Exit,61413,10,2024
East Hills Station,Entry,20168,10,2024
East Hills Station,Exit,18435,10,2024
East Richmond Station,Entry,4481,10,2024
East Richmond Station,Exit,6109,10,2024
Eastwood Station,Entry,182879,10,2024
Eastwood Station,Exit,185588,10,2024
Edgecliff Station,Entry,203201,10,2024
Edgecliff Station,Exit,197946,10,2024
Edmondson Park Station,Entry,103485,10,2024
Edmondson Park Station,Exit,99317,10,2024
Emu Plains Station,Entry,25761,10,2024
Emu Plains Station,Exit,24129,10,2024
Engadine Station,Entry,28830,10,2024
Engadine Station,Exit,27160,10,2024
Epping Station,Entry,370781,10,2024
Epping Station,Exit,363360,10,2024
Erskineville Station,Entry,59818,10,2024
Erskineville Station,Exit,54486,10,2024
Fairfield Station,Entry,145787,10,2024
Fairfield Station,Exit,140688,10,2024
Flemington Station,Entry,123429,10,2024
Flemington Station,Exit,117127,10,2024
Glenfield Station,Entry,128650,10,2024
Glenfield Station,Exit,119715,10,2024
Gordon Station,Entry,155906,10,2024
Gordon Station,Exit,153138,10,2024
Granville Station,Entry,178732,10,2024
Granville Station,Exit,167978,10,2024
Green Square Station,Entry,258723,10,2024
Green Square Station,Exit,252479,10,2024
Guildford Station,Entry,73897,10,2024
Guildford Station,Exit,66928,10,2024
Gymea Station,Entry,45453,10,2024
Gymea Station,Exit,41969,10,2024
Harris Park Station,Entry,71293,10,2024
Harris Park Station,Exit,73349,10,2024
Heathcote Station,Entry,12439,10,2024
Heathcote Station,Exit,12131,10,2024
Helensburgh Station,Entry,9937,10,2024
Helensburgh Station,Exit,9138,10,2024
Holsworthy Station,Entry,70534,10,2024
Holsworthy Station,Exit,67098,10,2024
Homebush Station,Entry,94152,10,2024
Homebush Station,Exit,89397,10,2024
Hornsby Station,Entry,285790,10,2024
Hornsby Station,Exit,288247,10,2024
Hurstville Station,Entry,492294,10,2024
Hurstville Station,Exit,495994,10,2024
Ingleburn Station,Entry,73255,10,2024
Ingleburn Station,Exit,72533,10,2024
Jannali Station,Entry,56616,10,2024
Jannali Station,Exit,53203,10,2024
Killara Station,Entry,46611,10,2024
Killara Station,Exit,44599,10,2024
Kings Cross Station,Entry,356379,10,2024
Kings Cross Station,Exit,371570,10,2024
Kingsgrove Station,Entry,55449,10,2024
Kingsgrove Station,Exit,52285,10,2024
Kingswood Station,Entry,53711,10,2024
Kingswood Station,Exit,50126,10,2024
Kirrawee Station,Entry,41620,10,2024
Kirrawee Station,Exit,40122,10,2024
Kogarah Station,Entry,266385,10,2024
