Station,Station_Type
Allawah Station,Train
Arncliffe Station,Train
Artarmon Station,Train
Ashfield Station,Train
Asquith Station,Train
Auburn Station,Train
Banksia Station,Train
Bankstown Station,Train
Bardwell Park Station,Train
Beecroft Station,Train
Belmore Station,Train
Berala Station,Train
Berowra Station,Train
Beverly Hills Station,Train
Bexley North Station,Train
Birrong Station,Train
Blacktown Station,Train
Bondi Junction Station,Train
Burwood Station,Train
Cabramatta Station,Train
Campbelltown Station,Train
Campsie Station,Train
Canley Vale Station,Train
Canterbury Station,Train
Caringbah Station,Train
Carlton Station,Train
Carramar Station,Train
Casula Station,Train
Central Station,Metro Shared
Central Station,Train
Chatswood Station,Metro Shared
Chatswood Station,Shared
Cheltenham Station,Train
Chester Hill Station,Train
Circular Quay Station,Train
Clarendon Station,Train
Clyde Station,Train
Como Station,Train
Concord West Station,Train
Cronulla Station,Train
Croydon Station,Train
Denistone Station,Train
Doonside Station,Train
Dulwich Hill Station,Train
East Hills Station,Train
East Richmond Station,Train
Eastwood Station,Train
Edgecliff Station,Train
Edmondson Park Station,Train
Emu Plains Station,Train
Engadine Station,Train
Epping Station,Shared
Epping Station,Metro Shared
Erskineville Station,Train
Fairfield Station,Train
Flemington Station,Train
Glenfield Station,Train
Gordon Station,Train
Granville Station,Train
Green Square Station,Train
Guildford Station,Train
Gymea Station,Train
Harris Park Station,Train
Heathcote Station,Train
Helensburgh Station,Train
Holsworthy Station,Train
Homebush Station,Train
Hornsby Station,Train
Hurlstone Park Station,Train
Hurstville Station,Train
Ingleburn Station,Train
Jannali Station,Train
Killara Station,Train
Kings Cross Station,Train
Kingsgrove Station,Train
Kingswood Station,Train
Kirrawee Station,Train
Kogarah Station,Train
Lakemba Station,Train
Leightonfield Station,Train
Leppington Station,Train
Leumeah Station,Train
Lewisham Station,Train
Lidcombe Station,Train
Lindfield Station,Train
Liverpool Station,Train
Loftus Station,Train
Macarthur Station,Train
Macdonaldtown Station,Train
Macquarie Fields Station,Train
Marayong Station,Train
Marrickville Station,Train
Martin Place Station,Train
Martin Place Station,Metro Shared
Mascot Station,Train
Meadowbank Station,Train
Merrylands Station,Train
Milsons Point Station,Train
Minto Station,Train
Miranda Station,Train
Mortdale Station,Train
Mount Colah Station,Train
Mount Druitt Station,Train
Mount Kuring-gai Station,Train
Mulgrave Station,Train
Museum Station,Train
Narwee Station,Train
Newtown Station,Train
Normanhurst Station,Train
North Strathfield Station,Train
North Sydney Station,Train
Oatley Station,Train
Olympic Park Station,Train
Padstow Station,Train
Panania Station,Train
Parramatta Station,Train
Pendle Hill Station,Train
Pennant Hills Station,Train
Penrith Station,Train
Penshurst Station,Train
Petersham Station,Train
Punchbowl Station,Train
Pymble Station,Train
Quakers Hill Station,Train
Redfern Station,Train
Regents Park Station,Train
Revesby Station,Train
Rhodes Station,Train
Richmond Station,Train
Riverstone Station,Train
Riverwood Station,Train
Rockdale Station,Train
Rooty Hill Station,Train
Roseville Station,Train
Schofields Station,Train
Sefton Station,Train
Seven Hills Station,Train
St James Station,Train
St Leonards Station,Train
St Marys Station,Train
St Peters Station,Train
Stanmore Station,Train
Strathfield Station,Train
Summer Hill Station,Train
Sutherland Station,Train
Sydenham Station,Train
Sydenham Station,Metro Shared
Tempe Station,Train
Thornleigh Station,Train
Toongabbie Station,Train
Town Hall Station,Train
Turramurra Station,Train
Turrella Station,Train
Villawood Station,Train
Vineyard Station,Train
Wahroonga Station,Train
Waitara Station,Train
Warrawee Station,Train
Warwick Farm Station,Train
Waterfall Station,Train
Waverton Station,Train
Wentworthville Station,Train
Werrington Station,Train
West Ryde Station,Train
Westmead Station,Train
Wiley Park Station,Train
Windsor Station,Train
Wolli Creek Station,Train
Wollstonecraft Station,Train
Woolooware Station,Train
Wynyard Station,Train
Yagoona Station,Train
Yennora Station,Train
